0 0
0.00833428 -6.25
0.0166686 -6.23372
0.0249209 -6.21749
0.0332929 -6.20145
0.0395011 -6.18523
0.0460982 -6.17323
0.0532362 -6.1605
0.0607013 -6.14676
0.0673108 -6.13242
0.0740892 -6.11975
0.0808357 -6.10679
0.0884947 -2094.12
0.0950739 -2002.16
0.102032 -586.552
0.108879 4.31016
0.116456 4.30094
0.123445 4.29075
0.130024 4.28138
0.136899 4.27258
0.143976 4.2634
0.150784 4.25397
0.157438 4.24492
0.164312 4.23609
0.172854 4.22699
0.178641 4.21571
0.18699 4.20809
0.193002 4.19711
0.202321 4.18922
0.206986 4.17702
0.213086 4.17093
0.220061 4.16298
0.227993 4.15391
0.235678 4.14361
0.241112 4.13366
0.247871 4.12664
0.255471 4.11793
0.262485 4.10814
0.269887 4.09914
0.275734 4.08966
0.282776 4.08219
0.290033 4.0732
0.296307 4.06397
0.303588 4.056
0.310035 4.04677
0.317585 4.03862
0.32472 4.02909
0.330825 443.63
0.338322 1326.93
0.344788 1037.31
